,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
198,Kohne Tikili,Yasamal r.,3.0,3,165000,85 ,Kupcali
199,Yeni Tikili,Nerimanov r.,9.0,3,247000,125 ,Kupcali
200,Yeni Tikili,Nesimi r.,18.0,3,68000,110 ,Kupcasiz
201,Kohne Tikili,Bineqedi r.,1.0,2,95000,65 ,Kupcali
202,Kohne Tikili,Bineqedi r.,4.0,2,77000,55 ,Kupcali
203,Kohne Tikili,Nesimi r.,1.0,3,74000,60 ,Kupcali
204,Kohne Tikili,Yasamal r.,3.0,3,157500,90 ,Kupcali
205,Yeni Tikili,Bineqedi r.,10.0,4,360000,210 ,Kupcali
206,Yeni Tikili,Xetai r.,3.0,2,100000,65 ,Kupcasiz
207,Yeni Tikili,Abseron r.,6.0,3,95000,120 ,Kupcasiz
208,Yeni Tikili,,,5,1222000,350 ,Kupcasiz
209,Yeni Tikili,Yasamal r.,7.0,4,234000,150 ,Kupcali
210,Yeni Tikili,,26.0,3,170000,149 ,Kupcasiz
211,Kohne Tikili,Bineqedi r.,2.0,2,90000,53 ,Kupcasiz
212,Yeni Tikili,Sabuncu r.,7.0,3,159000,126 ,Kupcali
213,Yeni Tikili,,,3,250000,140 ,Kupcali
214,Yeni Tikili,Bineqedi r.,17.0,3,110000,145 ,Kupcali
215,Yeni Tikili,,,4,750000,220 ,Kupcasiz
216,Yeni Tikili,Nerimanov r.,9.0,2,145000,75 ,Kupcali
217,Kohne Tikili,Nesimi r.,4.0,2,70000,29 ,Kupcali
218,Yeni Tikili,Nizami r.,10.0,2,107000,76 ,Kupcali
219,Yeni Tikili,Nerimanov r.,11.0,4,325000,184 ,Kupcali
220,Yeni Tikili,,,3,175000,136 ,Kupcasiz
221,Yeni Tikili,Sabuncu r.,18.0,3,103000,112 ,Kupcali
222,Kohne Tikili,Sabuncu r.,3.0,4,117000,100 ,Kupcali
223,Kohne Tikili,Xetai r.,3.0,3,95000,80 ,Kupcali
224,Yeni Tikili,Nerimanov r.,15.0,2,165000,87 ,Kupcali
225,Yeni Tikili,,12.0,3,237000,150 ,Kupcali
226,Yeni Tikili,Bineqedi r.,7.0,3,220000,133 ,Kupcali
227,Kohne Tikili,Xetai r.,1.0,3,84000,85 ,Kupcali
228,Yeni Tikili,Nerimanov r.,14.0,3,230000,162 ,Kupcali
229,Kohne Tikili,Nesimi r.,1.0,1,56000,36 ,Kupcali
230,Yeni Tikili,,,4,46000,100 ,Kupcasiz
231,Kohne Tikili,Nesimi r.,5.0,2,95000,70 ,Kupcali
232,Yeni Tikili,Yasamal r.,14.0,3,234000,168 ,Kupcali
233,Yeni Tikili,Yasamal r.,18.0,1,74000,50 ,Kupcali
234,Yeni Tikili,Yasamal r.,4.0,3,190000,147 ,Kupcasiz
235,Yeni Tikili,Suraxani r.,20.0,3,215000,175 ,Kupcali
236,Yeni Tikili,Nesimi r.,11.0,3,202000,147 ,Kupcasiz
237,Kohne Tikili,Bineqedi r.,4.0,3,68000,49 ,Kupcali
238,Yeni Tikili,Yasamal r.,12.0,4,415000,185 ,Kupcasiz
239,Yeni Tikili,Nesimi r.,12.0,3,237000,150 ,Kupcali
240,Kohne Tikili,Xetai r.,1.0,3,84000,85 ,Kupcali
241,Yeni Tikili,Nesimi r.,5.0,3,249000,135 ,Kupcali
242,Kohne Tikili,Xetai r.,6.0,1,32000,30 ,Kupcasiz
243,Kohne Tikili,Yasamal r.,5.0,2,76000,46 ,Kupcali
244,Yeni Tikili,Nesimi r.,1.0,1,87000,58 ,Kupcasiz
245,Yeni Tikili,Xetai r.,5.0,1,76000,51 ,Kupcasiz
246,Yeni Tikili,Xetai r.,3.0,3,115000,72 ,Kupcali
247,Yeni Tikili,Yasamal r.,18.0,3,165000,109 ,Kupcasiz
248,Yeni Tikili,,,3,150000,133 ,Kupcasiz
249,Yeni Tikili,Nizami r.,10.0,3,150000,81 ,Kupcasiz
250,Yeni Tikili,Bineqedi r.,13.0,2,135000,78 ,Kupcali
251,Yeni Tikili,Bineqedi r.,13.0,2,135000,88 ,Kupcali
252,Kohne Tikili,Nerimanov r.,3.0,2,82000,56 ,Kupcali
253,Yeni Tikili,Yasamal r.,18.0,2,98000,68 ,Kupcali
254,Yeni Tikili,Yasamal r.,14.0,3,234000,168 ,Kupcali
255,Kohne Tikili,Xetai r.,8.0,3,85000,80 ,Kupcali
256,Yeni Tikili,Pirallahi r.,9.0,4,249000,163 ,Kupcasiz
257,Yeni Tikili,Yasamal r.,11.0,2,87000,60 ,Kupcali
258,Yeni Tikili,Xetai r.,10.0,2,97000,68 ,Kupcali
259,Yeni Tikili,Masazir,,2,48500,74 ,Kupcasiz
260,Kohne Tikili,,,1,27000,25 ,Kupcasiz
261,Kohne Tikili,Xetai r.,5.0,4,84500,85 ,Kupcali
262,Yeni Tikili,Nesimi r.,10.0,3,295000,140 ,Kupcasiz
263,Yeni Tikili,,16.0,1,53000,42 ,Kupcasiz
